iso3;EMP_1990;EMP_1995;EMP_2000;EMP_2005;EMP_2010;EMP_2011;EMP_2012;EMP_2013
GIN;-1;-1;-1;-1;-1;-1;-1;-1
GNB;-1;-1;-1;-1;-1;-1;-1;-1
GUY;-1;0,802020563;0,936187455;0,979080861;1,007145143;0,955198679;1,008877737;1,009081795
HTI;-1;0,761753035;-1;0,83745132;0,84362604;0,842762444;0,842595138;0,840362301
HND;-1;0,744577049;-1;0,866734598;0,892696292;0,892696292;0,844698306;0,844791232
HKG;-1;-1;-1;-1;-1;-1;-1;-1
HUN;-1;1,043405293;-1;1,109647877;1,114287719;1,114287719;1,1211379;1,121236343
ISL;-1;0,969334996;1,007766498;1,03083398;1,05365457;1,05365457;1,172129293;1,172093884
IND;-1;0,847608295;-1;0,894299617;0,919775153;0,919775153;0,920199312;0,920171095
IDN;-1;0,817384978;-1;0,824015897;0,856909253;0,856909253;0,951935735;0,952533913
IRN;-1;0,880019564;0,909175325;0,956891128;0,974049468;0,92499624;0,971284736;0,97425882
IRQ;-1;0,83714289;-1;0,834374411;0,900364972;0,900364972;0,900304155;0,900317881
IRL;-1;1,025583568;1,049544772;1,071676752;1,097916416;1,103930778;1,094498997;1,095667787
ISR;-1;1,021839997;1,052529819;1,068783534;1,08961608;1,08961608;1,123278034;1,129014447
ITA;-1;0,992444108;1,019262599;1,037337753;1,082029034;1,082029034;1,091229444;1,107306193
JAM;-1;0,936274904;1,009737251;1,02296522;1,058399654;1,058399654;1,056891777;1,056762726
JPN;-1;1,022095427;1,051266541;1,064108537;1,086531646;1,086531646;1,101714427;1,090805032
JOR;-1;0,907431811;0,944015054;0,997791938;1,035578237;1,032008796;1,056566517;1,059904236
KAZ;-1;1,063639705;1,107175098;1,102715032;1,13015204;1,124873412;1,147106018;1,163373244
KEN;-1;0,781034751;0,805274969;0,835120007;0,865101469;0,865101469;0,844826401;0,863180092
KIR;-1;-1;-1;-1;-1;-1;-1;-1
PRK;-1;-1;-1;-1;-1;-1;-1;-1
KOR;-1;1,015335499;-1;1,096611667;1,112916329;1,112916329;1,104115098;1,107160667
KWT;-1;0,857577842;0,860726704;0,866785098;0,918496474;0,918496474;0,963888724;0,955817672
KGZ;-1;1,015617612;1,047016815;0,965261201;1,111829342;1,111829342;1,165448805;1,165628616
LAO;-1;0,747146236;0,819354081;0,851565315;0,882433089;0,882305965;0,882313372;0,882305965
LVA;-1;1,048790423;1,101293274;1,155857608;1,156293622;1,158920387;1,175018042;1,174929904
LBN;-1;-1;-1;-1;-1;0,834133206;0,861813725;0,861888163
LSO;-1;0,717497001;0,736655079;0,776507109;0,81557768;0,81557768;0,808025228;0,811205393
LBR;-1;0,796457916;0,838618572;0,846314088;0,864338623;0,864338623;0,860633131;0,861967044
LBY;-1;0,793062412;-1;0,889265483;0,9220064;0,9220064;0,92209303;0,954428311
LIE;-1;-1;-1;-1;-1;-1;-1;-1
LTU;-1;1,08692838;-1;1,127435992;1,149472215;1,149472215;1,142982013;1,154846361
LUX;-1;1,023848245;1,034113385;1,058999629;1,066661;1,066661;1,183012702;1,175267914
MDG;-1;-1;-1;-1;-1;-1;-1;-1
MWI;-1;0,680963564;-1;0,721698581;0,774429389;0,774429388;0,775209915;0,775114784
MYS;-1;0,961245461;0,998743141;1,023100561;1,047562862;1,047562862;1,044042011;1,047360184
MDV;-1;0,825434192;-1;0,769235259;0,842482676;0,866749535;0,743472748;0,743288835
